method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,classic_mean_density,classic_max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
all_closed,101,5,5,0,-0.5948578476303844,-0.5948578476303844,0.5948578476303844,2,1500,75.0,0.6,0.04,0.4999070810323481,0.6429235135483228,0.5628140703517588,0.0008848933866624797,0.0013504397065531837,0.0008848933866624804,0.0013504397065531829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,5,5,0,-0.0582271560736956,-0.0582271560736956,0.0582271560736956,0,1375,68.75,1.0,0.07272727272727272,1.1962049537420654,0.145567890184239,0.0,0.0008063495059419004,0.0013504397065531833,0.0008063495059419005,0.0013504397065531829,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,101,5,5,0,-0.058123022587986475,-0.058123022587986475,0.058123022587986475,0,1377,68.85000000000001,1.0,0.07262164124909222,1.1965694209420472,0.14530755646996618,0.0,0.0008123004784485306,0.0013604061410909863,0.0008123004784485305,0.0013604061410909859,,,,,,,
rl_policy,101,5,5,0,-0.29579459937912056,-0.29579459937912056,0.29579459937912056,1,1500,75.0,0.8,0.05333333333333334,0.8800563254859614,0.371388338938599,0.24539877300613497,0.0007569569934100737,0.0013504397065531837,0.0007569569934100735,0.0013504397065531829,0.5066574215888977,0.575869619846344,0.5608314275741577,0.653544008731842,0.49756234884262085,0.5828816294670105,0.5890907049179077
all_closed,101,300,20,0,-0.791272491918844,-0.791272491918844,0.791272491918844,14,1500,75.0,0.3,0.08,0.23741194992583725,0.8304200357672591,0.7651741293532338,0.004282315385254172,0.005401758826212732,0.0042823153852541715,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,300,19,1,-0.06292629096882196,-0.06292629096882196,0.06292629096882196,2,1500,75.0,0.8947368421052632,0.22666666666666666,1.179757981609123,0.1573157274220549,0.0,0.003166425732997068,0.005131670884902096,0.003166425732997068,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,101,300,20,0,-0.06950281366854881,-0.06950281366854881,0.06950281366854881,4,1500,75.0,0.8,0.21333333333333335,1.156740152160079,0.173757034171372,0.0,0.003461875627460484,0.005441624564363944,0.003461875627460484,0.0054416245643639435,,,,,,,
rl_policy,101,300,20,0,-0.22736477786546888,-0.22736477786546888,0.22736477786546888,5,1500,75.0,0.75,0.2,0.9551026744557835,0.3177838039601546,0.1670854271356784,0.003539573546649921,0.005401758826212732,0.003539573546649921,0.0054017588262127315,0.5252275466918945,0.555452287197113,0.5969022512435913,0.6850669384002686,0.5495407581329346,0.6088516712188721,0.6045918464660645
all_closed,101,500,20,0,-0.791272491918844,-0.791272491918844,0.791272491918844,14,1500,75.0,0.3,0.08,0.23741194992583725,0.8304200357672591,0.7651741293532338,0.004282315385254172,0.005401758826212732,0.0042823153852541715,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,500,19,1,-0.06292629096882196,-0.06292629096882196,0.06292629096882196,2,1500,75.0,0.8947368421052632,0.22666666666666666,1.179757981609123,0.1573157274220549,0.0,0.003166425732997068,0.005131670884902096,0.003166425732997068,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
