episode,stage,num_agents,added_agents,skipped_agents,reward,speed_loss,mean_speed,min_speed,speed_05,speed_10,stopped_ratio,evacuation_ratio,throughput_agents_per_second,mean_density,max_density,classic_mean_density,classic_max_density,remaining_agents,iterations,elapsed_time,actor_loss,critic_1_loss,critic_2_loss,pair_1_action,pair_2_action,pair_3_action,pair_4_action,pair_5_action,pair_6_action,pair_7_action
0,stage_1_fixed_small,339.9,337.6,2.3,-0.1583524409031965,0.2903219273551265,0.9935493017028229,5.5564335617770105e-05,0.28553248909885764,0.557347089590113,0.07037278326857646,0.2024376904040385,2.472,0.08378127939455945,0.08988526686817985,0.08378127939455945,0.08988526686817985,271.0,500.0,25.0,,,,0.6197881,0.39470083,0.68859756,0.04710436,0.7931123,0.4663851,0.32904726
1,stage_4_heavy,661.4,654.9,6.5,-0.22354053027112894,0.4047238604801759,0.8333865953277536,5.752498659227104e-05,0.06533080692082768,0.21059804086220474,0.1027516434650976,0.1723160521154023,4.3759999999999994,0.16354448126223606,0.17469288043971973,0.16354448126223606,0.17469288043971973,537.4,500.0,25.0,,,,0.34180993,0.2391511,0.24641621,0.23136105,0.5171056,0.99869347,0.5085425
2,stage_4_heavy,808.1,801.0,7.1,-0.23048123960601652,0.42870675952786846,0.7998105366609841,0.00012643533915408363,0.08062929913786684,0.21651476763802996,0.09833089299144855,0.15976234019651311,4.944000000000001,0.20051432642879088,0.21301835931169907,0.20051432642879088,0.21301835931169907,665.1,500.0,25.0,,,,0.4976027,0.22246453,0.9700896,0.21188197,0.22157675,0.86547726,0.7928677
3,stage_4_heavy,716.8,710.3,6.5,-0.22699762638301282,0.4140909882270467,0.8202726164821346,0.00010446403659251464,0.07817131545714291,0.23194178574141966,0.10226871848699023,0.16476046125733074,4.5680000000000005,0.17752360982461007,0.1891425852998388,0.17752360982461007,0.1891425852998388,586.1,500.0,25.0,,,,0.75628334,0.2671974,0.4898771,0.98260206,0.7957889,0.3971489,0.4877036
4,stage_4_heavy,700.1,693.7,6.4,-0.21960724504591536,0.4011581038774379,0.838378654571587,8.758509075541243e-05,0.09383922174348,0.25434204548229594,0.09857333915823367,0.1705698931008121,4.628,0.17320635796273695,0.1849022046212618,0.17320635796273695,0.1849022046212618,568.9,500.0,25.0,,,,0.031129263,0.95976555,0.75283366,0.36756715,0.7781591,0.7496509,0.703177
5,stage_4_heavy,753.1,746.8,6.3,-0.23031509168016404,0.4193777491468742,0.8128711511943759,6.68777540470108e-05,0.07754141769049214,0.20270880829968627,0.10427332003569054,0.16819738693375363,4.8919999999999995,0.18672425942533433,0.1989197687752838,0.18672425942533433,0.1989197687752838,614.2,500.0,25.0,,,,0.12205489,0.4863776,0.15336682,0.99406165,0.2701756,0.5397192,0.8105489
6,stage_4_heavy,768.8,761.8,7.0,-0.22859763520691176,0.41749536424636985,0.8155064900550822,0.00014027674877308149,0.08539495568175888,0.23673898570030633,0.10266581584727301,0.160947947997356,4.78,0.1909646401039113,0.2029710878949434,0.1909646401039113,0.2029710878949434,632.0,500.0,25.0,-0.6378895044326782,0.012828810140490532,0.014705689623951912,0.87069297,0.6267166,0.28731394,0.6042453,0.7365303,0.41445714,0.23711942
7,stage_4_heavy,758.4,750.6,7.8,-0.24352283277298864,0.43302592254634453,0.7937637084351177,8.259884754989408e-05,0.07878589935741953,0.20287937556704266,0.1171874395907514,0.16947836711137482,4.9159999999999995,0.18722911611563037,0.19956797983442937,0.18722911611563037,0.19956797983442937,616.0,500.0,25.0,-0.762242317199707,0.003026758786290884,0.0044204904697835445,0.6284907,0.5421547,0.66614395,0.1554123,0.37249282,0.52909297,0.2671751
8,stage_4_heavy,691.2,683.9,7.3,-0.22606984467527994,0.40831851120016677,0.8283540843197665,0.00010258859432810735,0.08005997011107976,0.217885097590734,0.10457073365868867,0.17081034621654484,4.556,0.17055741853834416,0.18212029882576225,0.17055741853834416,0.18212029882576225,560.4,500.0,25.0,-0.7156368494033813,0.0017775723244994879,0.0016740849241614342,0.7460269,0.4835464,0.7595154,0.19120055,0.5168939,0.8934421,0.22392508
9,stage_4_heavy,814.0,807.1,6.9,-0.23380901943710214,0.42859377343210925,0.7999687171950469,8.303583147175188e-05,0.07887949524239092,0.21553793461672566,0.10395251677376405,0.16157206842491265,5.1240000000000006,0.20156455300057954,0.21442281660651438,0.20156455300057954,0.21442281660651438,665.8,500.0,25.0,-0.7106181383132935,0.0014389075804501772,0.0010316737461835146,0.17061916,0.6771796,0.39177316,0.048680842,0.57254636,0.7007741,0.24858189
10,stage_4_heavy,728.0,719.6,8.4,-0.2280522425736527,0.4135984135707235,0.820962221000987,0.00010082970981624522,0.07040817585542532,0.1922738179116506,0.10435479524227212,0.16311889367823554,4.6080000000000005,0.18035537800927465,0.19176243833055195,0.18035537800927465,0.19176243833055195,594.8,500.0,25.0,-0.7245169878005981,0.0010573046747595072,0.00084050273289904,0.32266438,0.44329512,0.2688663,0.8930545,0.5640576,0.76386523,0.3336299
11,stage_4_heavy,771.6,766.2,5.4,-0.2181983808619064,0.41200158998211167,0.8231977740250436,0.00015888355974051928,0.09662972307427972,0.24141947263101232,0.08899624144843618,0.16196351675842624,4.824,0.19159830796621707,0.2035652813658268,0.19159830796621707,0.2035652813658268,633.1,500.0,25.0,-0.7094312906265259,0.0008011057507246733,0.0006535553839057684,0.35705423,0.22633457,0.8374754,0.9688245,0.4750594,0.6129973,0.57640505
12,stage_4_heavy,739.2,731.9,7.3,-0.24198904598628562,0.4350868530165104,0.7908784057768854,0.00010518752216912781,0.06295289304427655,0.17870791476881956,0.11325717463280234,0.16228444008257475,4.611999999999999,0.18303548142689557,0.1948414408614932,0.18303548142689557,0.1948414408614932,606.1,500.0,25.0,-0.7233642935752869,0.0005152930389158428,0.0005153381498530507,0.7666143,0.8013943,0.40789005,0.53347254,0.06387684,0.5213083,0.7222358
13,stage_4_heavy,700.1,693.9,6.2,-0.23101634984690853,0.41445601387856784,0.8197615805700051,0.00016777385184647153,0.0769131425474925,0.2095604837737251,0.10872324049246909,0.16989809126862765,4.612,0.1729861324105914,0.18455109029755795,0.1729861324105914,0.18455109029755795,568.0,500.0,25.0,-0.7301098108291626,0.0007009451510384679,0.0006476113339886069,0.169934,0.4953649,0.5669573,0.16490284,0.10290635,0.6143861,0.732188
14,stage_4_heavy,734.7,727.9,6.8,-0.2364694441457776,0.4254427440535876,0.8043801583249772,0.0001734598549046301,0.07526006726944784,0.20383468933365764,0.11048724420723768,0.16178797586707858,4.58,0.18214003602147338,0.19378809789038173,0.18214003602147338,0.19378809789038173,603.0,500.0,25.0,-0.7197837829589844,0.000541652727406472,0.0005245089996606112,0.44533762,0.67101157,0.95353615,0.9210018,0.175877,0.38535166,0.86704
15,stage_4_heavy,870.4,863.7,6.7,-0.24159914802914556,0.44667451401845193,0.7746556803741672,0.00016422556841107265,0.08747765699254104,0.22143434372051846,0.104882237369608,0.15590892804618317,5.272,0.21588648548846318,0.22925064458446834,0.21588648548846318,0.22925064458446834,717.0,500.0,25.0,-0.7208336591720581,0.00042153100366704166,0.000324318214552477,0.5382879,0.69021845,0.84170496,0.8479655,0.63871735,0.17495263,0.9593038
16,stage_4_heavy,772.0,764.4,7.6,-0.25638628959457166,0.4468317032479189,0.7744356154529135,9.96549595691821e-05,0.05977659056680508,0.16846680295612687,0.12942268049234013,0.16171411698373492,4.843999999999999,0.1906166421795303,0.20272800874776378,0.1906166421795303,0.20272800874776378,629.5,500.0,25.0,-0.7220390439033508,0.000529402052052319,0.0004894176381640136,0.26762375,0.2034216,0.9202948,0.26332164,0.25792998,0.5194806,0.05070111
17,stage_4_heavy,769.5,763.1,6.4,-0.22263594409627063,0.41351435640870216,0.8210799010278169,6.610865646282049e-05,0.08573011103143764,0.2275643574924094,0.09538366922131619,0.16028945100204545,4.752,0.19126277563912725,0.20326818463038507,0.19126277563912725,0.20326818463038507,633.8,500.0,25.0,-0.7251344919204712,0.00038284462061710656,0.0002896242367569357,0.20357004,0.97697973,0.3534118,0.29344982,0.09024945,0.5419817,0.53784424
18,stage_4_heavy,723.5,717.0,6.5,-0.2536311717783653,0.4461696148157854,0.7753625392579004,5.349743135746167e-05,0.05140673743678105,0.16824576111028844,0.12527220975341857,0.16355941054175868,4.532,0.179091158683986,0.19060106018291623,0.179091158683986,0.19060106018291623,592.4,500.0,25.0,-0.7335808277130127,0.0004895624006167054,0.00040350499330088496,0.9000149,0.910072,0.16969973,0.6634906,0.14524549,0.053703725,0.30977845
19,stage_4_heavy,639.9,634.6,5.3,-0.21428851981230546,0.38934780166337934,0.8549130776712689,7.076977663480374e-05,0.09227885689768237,0.24874757741880665,0.09758233191158952,0.17626919207690256,4.4,0.15812817923918354,0.16934513920176913,0.15812817923918354,0.16934513920176913,517.0,500.0,25.0,-0.7141536474227905,0.0004069749847985804,0.0003438080020714551,0.9253086,0.41271526,0.059036285,0.7116378,0.57581335,0.8508452,0.11619979
20,stage_4_heavy,780.7,775.7,5.0,-0.21696860573578713,0.40453081252150264,0.8336568624698962,0.00010352398536886608,0.09769013916160452,0.25398750231684464,0.09192713454531012,0.16978803938659895,5.136,0.1937849814910589,0.2063741959554574,0.1937849814910589,0.2063741959554574,635.7,500.0,25.0,-0.707770824432373,0.00034667988074943423,0.00029128234018571675,0.21944991,0.8312542,0.16988307,0.7873681,0.3599998,0.35646608,0.29023272
21,stage_4_heavy,712.2,703.8,8.4,-0.2376147481092014,0.4248963756302556,0.805145074117642,0.00012346366526658277,0.07234434422049169,0.21273697047253512,0.11276032976183199,0.16377448777195752,4.5040000000000004,0.17584802578870984,0.18744103126958175,0.17584802578870984,0.18744103126958175,581.4,500.0,25.0,-0.7155404090881348,0.00034970894921571016,0.0002874830970540643,0.9735981,0.9068081,0.9377242,0.24285479,0.84182996,0.62336373,0.1306052
