method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
all_closed,101.0,5.0,5.0,0.0,-1.9889346273506616,-0.3649723373285211,0.3649723373285211,1.0,1500.0,75.0,0.8,0.0533333333333333,0.7602931544287103,0.4569334611223498,0.3036649214659686,0.0008564630770508,0.0013504397065531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101.0,5.0,5.0,0.0,-0.1993232986342217,-0.0605858266425642,0.0605858266425642,0.0,1191.0,59.55,1.0,0.0839630562552476,1.187949606751025,0.1514645666064107,0.0,0.0009633136573412,0.0013504397065531,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,101.0,5.0,5.0,0.0,-0.116266176949163,-0.036663115110418,0.036663115110418,0.0,1304.0,65.2,1.0,0.0766871165644171,1.2716790971135368,0.091657787776045,0.0,0.0008739578845796,0.0013604061410909,,,,,,,
random,101.0,5.0,5.0,0.0,-0.2005301511610981,-0.0609210839555236,0.0609210839555236,0.0,1191.0,59.55,1.0,0.0839630562552476,1.1867762061556673,0.152302709888809,0.0,0.0009633136573412,0.0013504397065531,0.5163986086845398,0.570667564868927,0.0284742265939712,0.1715216636657714,0.685276985168457,0.8338968753814697,0.3069662153720855
rl_policy,101.0,5.0,5.0,0.0,-0.1995794979875242,-0.0606570256797901,0.0606570256797901,0.0,1191.0,59.55,1.0,0.0839630562552476,1.1877004101207345,0.1516425641994753,0.0,0.0009633136573412,0.0013504397065531,0.5066573619842529,0.575869619846344,0.5608314275741577,0.6535440683364868,0.4975623488426208,0.5828816294670105,0.5890907049179077
rule_based_pilgrimage,101.0,5.0,5.0,0.0,-0.1175045701785486,-0.0370327123808193,0.0370327123808193,0.0,1305.0,65.25,1.0,0.0766283524904214,1.2703855066671323,0.0925817809520482,0.0,0.000867555205422,0.0013504397065531,0.45,0.45,0.45,0.45,0.45,0.45,0.45
all_closed,202.0,5.0,5.0,0.0,-7.911400525933805,-0.729110471660491,0.729110471660491,3.0,1500.0,75.0,0.4,0.0266666666666666,0.2955237077540186,0.7889116373185581,0.6892430278884463,0.0010696903991381,0.0013504397065531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202.0,5.0,5.0,0.0,-0.2413039842758182,-0.072054142431734,0.072054142431734,0.0,1197.0,59.85,1.0,0.0835421888053467,1.1478105014889308,0.180135356079335,0.0,0.0008372726180629,0.0013504397065531,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,202.0,5.0,5.0,0.0,-0.1378668757653689,-0.0430517826624421,0.0430517826624421,0.0,975.0,48.75,1.0,0.1025641025641025,1.2493187606814526,0.1076294566561052,0.0,0.0011049829472534,0.0013604061410909,,,,,,,
random,202.0,5.0,5.0,0.0,-0.2413537057696764,-0.072067494116386,0.072067494116386,0.0,1197.0,59.85,1.0,0.0835421888053467,1.147763770592649,0.1801687352909652,0.0,0.0008372726180629,0.0013504397065531,0.2242061793804168,0.2640542984008789,0.9773611426353456,0.9929373860359192,0.9949920773506165,0.5714755654335022,0.599606990814209
rl_policy,202.0,5.0,5.0,0.0,-0.241342615082627,-0.0720645159868,0.0720645159868,0.0,1197.0,59.85,1.0,0.0835421888053467,1.1477741940461996,0.1801612899670002,0.0,0.0008372726180629,0.0013504397065531,0.5066573619842529,0.575869619846344,0.5608314275741577,0.6535440683364868,0.4975623488426208,0.5828816294670105,0.5890907049179077
rule_based_pilgrimage,202.0,5.0,5.0,0.0,-0.138227451205263,-0.0431573949939516,0.0431573949939516,0.0,975.0,48.75,1.0,0.1025641025641025,1.248949117521169,0.1078934874848791,0.0,0.0010968877616493,0.0013504397065531,0.45,0.45,0.45,0.45,0.45,0.45,0.45
all_closed,303.0,5.0,5.0,0.0,-4.444960169598062,-0.5648968137721635,0.5648968137721635,2.0,1500.0,75.0,0.6,0.04,0.5046793336156098,0.6395147617031358,0.5151515151515151,0.000881339597961,0.0013504397065531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,303.0,5.0,5.0,0.0,-0.1446254246148408,-0.0450258144699469,0.0450258144699469,0.0,1343.0,67.15,1.0,0.0744601638123603,1.2424096493551855,0.1125645361748673,0.0,0.0006950792607259,0.0013504397065531,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,303.0,5.0,5.0,0.0,-0.2449367644170574,-0.0730282456646155,0.0730282456646155,0.0,1166.0,58.3,1.0,0.0857632933104631,1.1444011401738454,0.1825706141615389,0.0,0.0009822593493301,0.0013604061410909,,,,,,,
random,303.0,5.0,5.0,0.0,-2.5615956627948617,-0.4234028881098696,0.4234028881098696,1.0,1500.0,75.0,0.8,0.0533333333333333,0.7206376623160933,0.4852588126313619,0.3821656050955414,0.0007356342612013,0.0013504397065531,0.7501484155654907,0.2810350656509399,0.5507943034172058,0.81089186668396,0.6211731433868408,0.4352830350399017,0.1870327889919281
rl_policy,303.0,5.0,5.0,0.0,-2.5646099534270514,-0.4236848793007214,0.4236848793007214,1.0,1500.0,75.0,0.8,0.0533333333333333,0.719650693148112,0.4859637906084914,0.3821656050955414,0.0007356342612013,0.0013504397065531,0.5066573619842529,0.575869619846344,0.5608314275741577,0.6535440683364868,0.4975623488426208,0.5828816294670105,0.5890907049179077
rule_based_pilgrimage,303.0,5.0,5.0,0.0,-1.857183492799764,-0.3499454489591521,0.3499454489591521,1.0,1500.0,75.0,0.8,0.0533333333333333,0.7901080557147907,0.4356371030608638,0.292817679558011,0.0008209251900362,0.0013504397065531,0.45,0.45,0.45,0.45,0.45,0.45,0.45
all_closed,404.0,5.0,5.0,0.0,-5.6168976005729245,-0.6298755399019489,0.6298755399019489,3.0,1500.0,75.0,0.4,0.0266666666666666,0.434909294553705,0.6893505038902107,0.5902255639097744,0.00112299722966,0.0013504397065531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,404.0,5.0,5.0,0.0,-0.1678666668433446,-0.0517262409299899,0.0517262409299899,0.0,1153.0,57.650000000000006,1.0,0.0867302688638334,1.2189581567450352,0.1293156023249748,0.0,0.0010850084538858,0.0013504397065531,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,404.0,5.0,5.0,0.0,-0.1457130216358597,-0.0453423898373847,0.0453423898373847,0.0,1086.0,54.3,1.0,0.0920810313075506,1.2413016355691533,0.1133559745934619,0.0,0.0010586433243398,0.0013604061410909,,,,,,,
random,404.0,5.0,5.0,0.0,-1.6968645068652952,-0.3306966014775337,0.3306966014775337,1.0,1500.0,75.0,0.8,0.0533333333333333,0.8767203106702157,0.3737712066641315,0.3019801980198019,0.0008955547527668,0.0013504397065531,0.668825089931488,0.350711315870285,0.8931057453155518,0.2780353128910064,0.0524870455265045,0.9178913831710817,0.4721620380878448
rl_policy,404.0,5.0,5.0,0.0,-0.1685189905607256,-0.0519123756497337,0.0519123756497337,0.0,1154.0,57.7,1.0,0.0866551126516464,1.218306685225932,0.1297809391243343,0.0,0.0010850084538858,0.0013504397065531,0.5066573619842529,0.575869619846344,0.5608314275741577,0.6535440683364868,0.4975623488426208,0.5828816294670105,0.5890907049179077
rule_based_pilgrimage,404.0,5.0,5.0,0.0,-1.984160167416844,-0.3644394521029435,0.3644394521029435,1.0,1500.0,75.0,0.8,0.0533333333333333,0.8395970527748328,0.400287819446548,0.3405405405405405,0.0008351403448421,0.0013504397065531,0.45,0.45,0.45,0.45,0.45,0.45,0.45
all_closed,505.0,5.0,5.0,0.0,-11.546018485108991,-0.8431344543533742,0.8431344543533742,4.0,1500.0,75.0,0.2,0.0133333333333333,0.1659213016550822,0.8814847845320841,0.8175675675675675,0.0012296108907036,0.0013504397065531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,505.0,5.0,5.0,0.0,-0.2005261023993554,-0.0609199597942337,0.0609199597942337,0.0,1075.0,53.75,1.0,0.0930232558139534,1.186780140720182,0.1522998994855843,0.0,0.0011203647935848,0.0013504397065531,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,505.0,5.0,5.0,0.0,-0.1107271322131246,-0.035004958307587,0.035004958307587,0.0,941.0,47.05,1.0,0.106269925611052,1.2774826459234452,0.0875123957689676,0.0,0.0007879018900485,0.0013604061410909,,,,,,,
random,505.0,5.0,5.0,0.0,-1.8475537335444496,-0.3488200955298028,0.3488200955298028,1.0,1500.0,75.0,0.8,0.0533333333333333,0.8219868085028328,0.4128665653551194,0.3061224489795918,0.0008742320205581,0.0013504397065531,0.8506181240081787,0.2925411760807037,0.2230885326862335,0.1977146565914154,0.3778901100158691,0.138534128665924,0.0108283692970871
rl_policy,505.0,5.0,5.0,0.0,-0.2008679981156198,-0.061014875692878,0.061014875692878,0.0,1075.0,53.75,1.0,0.0930232558139534,1.1864479350749266,0.1525371892321951,0.0,0.0011203647935848,0.0013504397065531,0.5066573619842529,0.575869619846344,0.5608314275741577,0.6535440683364868,0.4975623488426208,0.5828816294670105,0.5890907049179077
rule_based_pilgrimage,505.0,5.0,5.0,0.0,-0.1124104143066524,-0.0355097351166326,0.0355097351166326,0.0,941.0,47.05,1.0,0.106269925611052,1.2757159270917855,0.0887743377915816,0.0,0.0007821296633787,0.0013504397065531,0.45,0.45,0.45,0.45,0.45,0.45,0.45
all_closed,101.0,10.0,10.0,0.0,-6.409965428282105,-0.6676085912493794,0.6676085912493794,6.0,1500.0,75.0,0.4,0.0533333333333333,0.3753286935137697,0.731908076061593,0.6247422680412371,0.0020789663903516,0.0027008794131063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101.0,10.0,10.0,0.0,-0.2256358792382957,-0.0678199314703714,0.0678199314703714,1.0,1500.0,75.0,0.9,0.12,1.1626302398537,0.1695498286759285,0.0,0.0015778821834463,0.0027008794131063,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,101.0,10.0,10.0,0.0,-0.1927105994834534,-0.058742843842749,0.058742843842749,1.0,1500.0,75.0,0.9,0.12,1.194400046550378,0.1468571096068727,0.0,0.0017649479672575,0.0027208122821819,,,,,,,
random,101.0,10.0,10.0,0.0,-0.9084091786004388,-0.2154233347423945,0.2154233347423945,2.0,1500.0,75.0,0.8,0.1066666666666666,0.9757703945173216,0.3030211467733417,0.1570247933884297,0.001645404168774,0.0027008794131063,0.5163986086845398,0.570667564868927,0.0284742265939712,0.1715216636657714,0.685276985168457,0.8338968753814697,0.3069662153720855
rl_policy,101.0,10.0,10.0,0.0,-0.2231683634266401,-0.0671481705067173,0.0671481705067173,1.0,1500.0,75.0,0.9,0.12,1.1649814032264891,0.1678704262667933,0.0,0.0015707746060434,0.0027008794131063,0.5066359043121338,0.5749629735946655,0.560670018196106,0.6535550951957703,0.497530072927475,0.582771897315979,0.5885478854179382
rule_based_pilgrimage,101.0,10.0,10.0,0.0,-0.1928381893904092,-0.0587785001824761,0.0587785001824761,1.0,1500.0,75.0,0.9,0.12,1.1942752493613331,0.1469462504561904,0.0,0.0017484640411162,0.0027008794131063,0.45,0.45,0.45,0.45,0.45,0.45,0.45
all_closed,202.0,10.0,10.0,0.0,-7.566851097619137,-0.7159667439687595,0.7159667439687595,5.0,1500.0,75.0,0.5,0.0666666666666666,0.3263979495074,0.7668586074947142,0.6820388349514563,0.0018159860264438,0.0027008794131063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202.0,10.0,10.0,0.0,-0.2449055310183283,-0.0730198827791996,0.0730198827791996,0.0,1227.0,61.35,1.0,0.1629991850040749,1.1444304102728011,0.182549706947999,0.0,0.0015334025055055,0.0027008794131063,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,202.0,10.0,10.0,0.0,-0.1659920026591737,-0.0511907430406363,0.0511907430406363,0.0,1350.0,67.5,1.0,0.1481481481481481,1.2208323993577723,0.1279768576015909,0.0,0.0017765303724835,0.0027208122821819,,,,,,,
random,202.0,10.0,10.0,0.0,-0.2458244761641619,-0.0732658468633248,0.0732658468633248,0.0,1231.0,61.55,1.0,0.1624695369618196,1.143569535978363,0.183164617158312,0.0,0.0015377587626234,0.0027008794131063,0.2242061793804168,0.2640542984008789,0.9773611426353456,0.9929373860359192,0.9949920773506165,0.5714755654335022,0.599606990814209
rl_policy,202.0,10.0,10.0,0.0,-0.2456050525745907,-0.0732071326224689,0.0732071326224689,0.0,1228.0,61.400000000000006,1.0,0.1628664495114006,1.1437750358213583,0.1830178315561724,0.0,0.0015334025055055,0.0027008794131063,0.5066359043121338,0.5749629735946655,0.560670018196106,0.6535550951957703,0.497530072927475,0.582771897315979,0.5885478854179382
rule_based_pilgrimage,202.0,10.0,10.0,0.0,-0.7800078758870896,-0.1922059296499577,0.1922059296499577,1.0,1500.0,75.0,0.9,0.12,1.0490062657237549,0.2507098101973178,0.1532033426183844,0.0016311890139681,0.0027008794131063,0.45,0.45,0.45,0.45,0.45,0.45,0.45
all_closed,303.0,10.0,10.0,0.0,-6.162009183755499,-0.6562635179548845,0.6562635179548845,4.0,1500.0,75.0,0.6,0.08,0.4048634014436186,0.710811856111701,0.6198979591836735,0.0017484640411162,0.0027008794131063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,303.0,10.0,10.0,0.0,-0.2110222095833041,-0.0638216014244626,0.0638216014244626,0.0,1371.0,68.55,1.0,0.1458789204959883,1.1766243950143809,0.1595540035611566,0.0,0.0015383269700736,0.0027008794131063,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,303.0,10.0,10.0,0.0,-0.2131788929668681,-0.0644146996208898,0.0644146996208898,0.0,1340.0,67.0,1.0,0.1492537313432835,1.1745485513268854,0.1610367490522246,0.0,0.0020142132715854,0.0027208122821819,,,,,,,
random,303.0,10.0,10.0,0.0,-1.079140494897799,-0.2439848615686658,0.2439848615686658,1.0,1500.0,75.0,0.9,0.12,0.9313740854271008,0.3347327961234994,0.1834862385321101,0.0015174677755216,0.0027008794131063,0.7501484155654907,0.2810350656509399,0.5507943034172058,0.81089186668396,0.6211731433868408,0.4352830350399017,0.1870327889919281
rl_policy,303.0,10.0,10.0,0.0,-2.149299534925711,-0.3823933527482812,0.3823933527482812,2.0,1500.0,75.0,0.8,0.1066666666666666,0.7616232653810155,0.4559833818707032,0.3333333333333333,0.0016773882670871,0.0027008794131063,0.5066359043121338,0.5749629735946655,0.560670018196106,0.6535550951957703,0.497530072927475,0.582771897315979,0.5885478854179382
rule_based_pilgrimage,303.0,10.0,10.0,0.0,-1.4486280862280956,-0.2985093009709777,0.2985093009709777,2.0,1500.0,75.0,0.8,0.1066666666666666,0.8802174466015779,0.3712732524274443,0.25,0.0018764004343686,0.0027008794131063,0.45,0.45,0.45,0.45,0.45,0.45,0.45
all_closed,404.0,10.0,10.0,0.0,-7.36434684863622,-0.7079927499787146,0.7079927499787146,6.0,1500.0,75.0,0.4,0.0533333333333333,0.3413929640073053,0.7561478828519248,0.6758893280632411,0.0021535959530821,0.0027008794131063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
