method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
all_open,101,300,300,0,-0.36154397085024526,-0.10287310949908193,0.10287310949908193,16,1500,75.0,0.9464882943143813,3.7733333333333334,1.1036288776620449,0.2116936588128251,0.03032607662325316,0.047954824737443814,0.08075629445188033,1.0,1.0,1.0,1.0,1.0,1.0,1.0
all_closed,101,300,294,6,-7.079443961002841,-0.6964410178191521,0.6964410178191521,190,1500,75.0,0.3515358361774744,1.3733333333333333,0.2995185692136982,0.7860581648473585,0.6366962531336812,0.06280966150952884,0.07913576680401652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,101,300,296,4,-1.4966082161857157,-0.3049776990597922,0.3049776990597922,76,1500,75.0,0.7406143344709898,2.8933333333333335,0.8128113146298201,0.41942048955012845,0.22868250539956803,0.05149439828409373,0.07913576680401652,0.5163986086845398,0.570667564868927,0.028474226593971252,0.17152166366577148,0.685276985168457,0.8338968753814697,0.30696621537208557
rl_policy,101,300,296,4,-0.502720376047533,-0.1357590165273259,0.1357590165273259,35,1500,75.0,0.8805460750853242,3.44,1.0428632441345573,0.2550976827610304,0.0561999057048562,0.048047223243681665,0.07913576680401652,0.5252275466918945,0.555452287197113,0.5969022512435913,0.6850669384002686,0.5495407581329346,0.6088516712188721,0.6045918464660645
all_open,101,500,500,0,-0.4435468037517125,-0.12236771446424251,0.12236771446424251,62,1500,75.0,0.8755020080321285,5.8133333333333335,1.044056631628354,0.2542452631226043,0.034449348692001294,0.08365263224356675,0.134503794772697,1.0,1.0,1.0,1.0,1.0,1.0,1.0
all_closed,101,500,489,11,-6.348025412419185,-0.6648105419199872,0.6648105419199872,330,1500,75.0,0.32098765432098764,2.08,0.323651484532506,0.7688203681910671,0.5954706577392674,0.10743458623370862,0.13126273947696937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,101,500,495,5,-1.7866946073861376,-0.3416187216507359,0.3416187216507359,148,1500,75.0,0.6979591836734694,4.56,0.7438088097171526,0.46870799305917665,0.2568925407117755,0.0891432357873159,0.1323430912422119,0.5163986086845398,0.570667564868927,0.028474226593971252,0.17152166366577148,0.685276985168457,0.8338968753814697,0.30696621537208557
rl_policy,101,500,499,1,-0.5402317786465007,-0.14397763690510496,0.14397763690510496,73,1500,75.0,0.8516260162601627,5.586666666666667,1.0061189909350043,0.28134357790356823,0.052400342906129445,0.08374503074980462,0.1328832671248332,0.5488573312759399,0.692350447177887,0.6281717419624329,0.6388293504714966,0.5335893630981445,0.6032052040100098,0.5847250819206238
all_open,101,700,700,0,-0.6042897361741755,-0.15756037555236632,0.15756037555236632,146,1500,75.0,0.7905308464849354,7.346666666666667,0.9600311749519536,0.3142634464628903,0.053091661612016984,0.12429020604471319,0.18825129509351368,1.0,1.0,1.0,1.0,1.0,1.0,1.0
all_closed,101,700,684,16,-7.573256189599677,-0.7162158708527148,0.7162158708527148,493,1500,75.0,0.27393225331369664,2.48,0.26896699536809954,0.8078807175942146,0.6551059730250481,0.15315763166663823,0.18338971214992222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,101,700,693,7,-2.1662374568670235,-0.38418132027176294,0.38418132027176294,258,1500,75.0,0.6233576642335766,5.693333333333333,0.664373786896154,0.5254472950741758,0.29000400373682106,0.13077587042486993,0.18501023979778605,0.5163986086845398,0.570667564868927,0.028474226593971252,0.17152166366577148,0.685276985168457,0.8338968753814697,0.30696621537208557
rl_policy,101,700,699,1,-0.6777865759489439,-0.17249180347132964,0.17249180347132964,159,1500,75.0,0.7695652173913043,7.08,0.9203377990559597,0.34261585781717163,0.0590757672407683,0.12472021447758934,0.18636067950433924,0.5464498996734619,0.6522324085235596,0.6140705943107605,0.6403273344039917,0.5313119292259216,0.590336799621582,0.5570318698883057
