method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
all_closed,101,5,5,0,-1.9889346273506616,-0.3649723373285211,0.3649723373285211,1,1500,75.0,0.8,0.05333333333333334,0.7602931544287103,0.4569334611223498,0.3036649214659686,0.0008564630770508349,0.0013504397065531837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,5,5,0,-0.1993232986342217,-0.06058582664256429,0.06058582664256429,0,1191,59.550000000000004,1.0,0.08396305625524768,1.187949606751025,0.15146456660641072,0.0,0.0009633136573412702,0.0013504397065531837,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,101,5,5,0,-0.20053015116109818,-0.060921083955523606,0.060921083955523606,0,1191,59.550000000000004,1.0,0.08396305625524768,1.1867762061556673,0.152302709888809,0.0,0.0009633136573412704,0.0013504397065531844,0.5163986086845398,0.570667564868927,0.028474226593971252,0.17152166366577148,0.685276985168457,0.8338968753814697,0.30696621537208557
rl_policy,101,5,5,0,-0.19957949798752428,-0.06065702567979012,0.06065702567979012,0,1191,59.550000000000004,1.0,0.08396305625524768,1.1877004101207345,0.1516425641994753,0.0,0.0009633136573412702,0.0013504397065531835,0.5066573619842529,0.575869619846344,0.5608314275741577,0.6535440683364868,0.49756234884262085,0.5828816294670105,0.5890907049179077
all_closed,101,10,10,0,-6.409965428282105,-0.6676085912493794,0.6676085912493794,6,1500,75.0,0.4,0.05333333333333334,0.3753286935137697,0.731908076061593,0.6247422680412371,0.0020789663903516106,0.002700879413106366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,10,10,0,-0.22563587923829576,-0.0678199314703714,0.0678199314703714,1,1500,75.0,0.9,0.12,1.1626302398537,0.1695498286759285,0.0,0.0015778821834463508,0.002700879413106366,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,101,10,10,0,-0.9084091786004389,-0.21542333474239453,0.21542333474239453,2,1500,75.0,0.8,0.10666666666666667,0.9757703945173215,0.3030211467733417,0.15702479338842976,0.0016454041687740096,0.002700879413106366,0.5163986086845398,0.570667564868927,0.028474226593971252,0.17152166366577148,0.685276985168457,0.8338968753814697,0.30696621537208557
rl_policy,101,10,10,0,-0.22316836342664015,-0.06714817050671736,0.06714817050671736,1,1500,75.0,0.9,0.12,1.1649814032264891,0.16787042626679338,0.0,0.0015707746060434394,0.0027008794131063657,0.5066359043121338,0.5749629735946655,0.560670018196106,0.6535550951957703,0.497530072927475,0.582771897315979,0.5885478854179382
all_closed,101,1000,976,24,-8.230096392972214,-0.7408231639675017,0.7408231639675017,726,1500,75.0,0.2429614181438999,3.1066666666666665,0.2405081367202663,0.8282084737712383,0.6825662907650106,0.22052325029143335,0.25901433571690047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,1000,1000,0,-0.7729004513045994,-0.19087229282648138,0.19087229282648138,315,1500,75.0,0.6811740890688259,8.973333333333333,0.8544123120643375,0.389705491382616,0.05831682712239163,0.18929255518304022,0.2668468860149089,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,101,1000,993,7,-2.2398401788218516,-0.39184133368782526,0.39184133368782526,408,1500,75.0,0.5806783144912642,7.533333333333333,0.6126040274334341,0.5624256946904042,0.2781184263527727,0.19326569095126775,0.26279556689524936,0.5163986086845398,0.570667564868927,0.028474226593971252,0.17152166366577148,0.685276985168457,0.8338968753814697,0.30696621537208557
rl_policy,101,1000,997,3,-0.9188934901400749,-0.21724957089738117,0.21724957089738117,347,1500,75.0,0.6455566905005107,8.426666666666666,0.799860366772604,0.42867116659099713,0.07630184043497054,0.1908882063099938,0.2644160945431132,0.5436841249465942,0.5968451499938965,0.5928694009780884,0.6426052451133728,0.5292137861251831,0.5714855194091797,0.5240288376808167
all_closed,101,1500,987,24,-8.34924379899785,-0.745098487639112,0.745098487639112,725,1500,75.0,0.25257731958762886,3.2666666666666666,0.23733920435069727,0.8304719968923591,0.688182814803614,0.22241741966930917,0.26198530307131745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,1500,1011,0,-0.7925030007778635,-0.19453765585478633,0.19453765585478633,320,1500,75.0,0.6796796796796797,9.053333333333333,0.8500812147123294,0.3927991323483361,0.06236333819241983,0.1914568125022268,0.26981785336932596,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,101,1500,1004,7,-2.241400936716713,-0.3920018747423556,0.3920018747423556,421,1500,75.0,0.5721544715447154,7.506666666666667,0.6104247364489414,0.5639823311078991,0.2773482371653265,0.19577111198579403,0.2657665342496664,0.5163986086845398,0.570667564868927,0.028474226593971252,0.17152166366577148,0.685276985168457,0.8338968753814697,0.30696621537208557
rl_policy,101,1500,1007,4,-1.1156702992080545,-0.24979056287573434,0.24979056287573434,375,1500,75.0,0.6200607902735562,8.16,0.7602714418135611,0.4569489701331706,0.11168495803744351,0.19464456096743254,0.2665767980735983,0.5346928834915161,0.5194154977798462,0.5658186078071594,0.6434570550918579,0.5229800939559937,0.5486160516738892,0.48126286268234253
all_closed,202,5,5,0,-7.911400525933805,-0.729110471660491,0.729110471660491,3,1500,75.0,0.4,0.02666666666666667,0.2955237077540186,0.7889116373185581,0.6892430278884463,0.0010696903991381796,0.0013504397065531837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202,5,5,0,-0.24130398427581823,-0.07205414243173403,0.07205414243173403,0,1197,59.85,1.0,0.0835421888053467,1.1478105014889308,0.18013535607933506,0.0,0.0008372726180629738,0.0013504397065531835,1.0,1.0,1.0,1.0,1.0,1.0,1.0
