method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
all_closed,101,300,294,6,-6.578600406453105,-0.6751095132191778,0.6751095132191778,174,1500,75.0,0.4061433447098976,1.586666666666667,0.3282029967406471,0.7655692880423949,0.6148029966703663,0.0615836044075265,0.0791357668040165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,300,300,0,-0.356308670108683,-0.1015889321457654,0.1015889321457654,16,1500,75.0,0.9464882943143812,3.773333333333333,1.1036470154469122,0.2116807032522054,0.0281944180748053,0.0479939164131598,0.0807562944518803,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,101,300,297,3,-1.4868566223256798,-0.3036731707684078,0.3036731707684078,76,1500,75.0,0.7414965986394558,2.9066666666666667,0.8125613181852195,0.4195990584391289,0.2263892456545937,0.0518924226186567,0.0794058547453271,0.5163986086845398,0.570667564868927,0.0284742265939712,0.1715216636657714,0.685276985168457,0.8338968753814697,0.3069662153720855
rl_policy,101,300,297,3,-0.5127971770674682,-0.1379867907762725,0.1379867907762725,33,1500,75.0,0.8877551020408163,3.48,1.0439943762331734,0.2542897312620189,0.0604514971191083,0.0480116853566671,0.0794058547453271,0.5252275466918945,0.555452287197113,0.5969022512435913,0.6850669384002686,0.5495408177375793,0.6088516712188721,0.6045918464660645
all_closed,101,500,489,11,-6.6018298206923705,-0.6761296613978025,0.6761296613978025,333,1500,75.0,0.3134020618556701,2.026666666666667,0.3141387951891458,0.7756151462934673,0.6098060048006926,0.1074807854868275,0.1309926515356587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,500,500,0,-0.4261983012301691,-0.1183374578317407,0.1183374578317407,59,1500,75.0,0.8815261044176707,5.8533333333333335,1.0512563874805456,0.2491025803710388,0.0311607094722087,0.083553126159926,0.134503794772697,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,101,500,496,4,-1.7617548870601816,-0.3386221021068873,0.3386221021068873,149,1500,75.0,0.6965376782077393,4.56,0.747420779025577,0.4661280149817306,0.2536181601903251,0.0890828213793911,0.1326131791835225,0.5163986086845398,0.570667564868927,0.0284742265939712,0.1715216636657714,0.685276985168457,0.8338968753814697,0.3069662153720855
rl_policy,101,500,499,1,-0.5441095798120434,-0.1448158068216974,0.1448158068216974,76,1500,75.0,0.845841784989858,5.56,0.9995962890272848,0.2860026506947966,0.0506912442396313,0.0845446332076321,0.1331533550661438,0.5488573312759399,0.692350447177887,0.6281717419624329,0.6388292908668518,0.5335893630981445,0.6032052040100098,0.5847250819206238
all_closed,101,700,684,16,-7.232586499466898,-0.7027000807615924,0.7027000807615924,466,1500,75.0,0.3106508875739645,2.8,0.2820438290718829,0.7985401220915122,0.6388067198749791,0.1512776774435681,0.1825794483259903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,700,700,0,-0.5860228239641418,-0.1537431713356846,0.1537431713356846,148,1500,75.0,0.7873563218390804,7.306666666666667,0.9633685397257776,0.3118796144815874,0.0483188759050828,0.1237891218378079,0.187981207152203,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,101,700,694,6,-2.136504993291118,-0.3810363735160038,0.3810363735160038,257,1500,75.0,0.6242690058479532,5.693333333333333,0.6688380862475887,0.5222585098231509,0.2868882826445724,0.1297310565466419,0.1847401518564754,0.5163986086845398,0.570667564868927,0.0284742265939712,0.1715216636657714,0.685276985168457,0.8338968753814697,0.3069662153720855
rl_policy,101,700,698,2,-0.6733318893179445,-0.1716055940259173,0.1716055940259173,158,1500,75.0,0.7706821480406386,7.08,0.919391036620542,0.3432921166996129,0.0571479122434536,0.1248374895047373,0.1860905915630286,0.5464498996734619,0.6522324085235596,0.6140705943107605,0.6403273344039917,0.5313119292259216,0.590336799621582,0.5570318698883057
all_closed,101,900,883,17,-7.906817285448243,-0.7289389902162313,0.7289389902162313,658,1500,75.0,0.2462772050400916,2.8666666666666667,0.2507939461396301,0.8208614670431214,0.6676573389983047,0.2007037707034145,0.2357867727641857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,900,900,0,-0.707085138899685,-0.1782624396336945,0.1782624396336945,261,1500,75.0,0.7087053571428571,8.466666666666667,0.8910253694479965,0.3635533075371453,0.0547351943647273,0.1679378388759926,0.2419987954143303,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,101,900,893,7,-2.168953037254905,-0.3844670870593307,0.3844670870593307,348,1500,75.0,0.6040955631399317,7.08,0.6373461329271876,0.544752762194866,0.2776099703023073,0.171114925975094,0.2374073004120495,0.5163986086845398,0.570667564868927,0.0284742265939712,0.1715216636657714,0.685276985168457,0.8338968753814697,0.3069662153720855
rl_policy,101,900,896,4,-0.8396247424009742,-0.2031872021580404,0.2031872021580404,282,1500,75.0,0.6806342015855039,8.013333333333334,0.8394347744738961,0.4004037325186456,0.0717095152509702,0.1677175039765023,0.2384876521772921,0.5447341799736023,0.6156653761863708,0.6000241041183472,0.6421566009521484,0.5296857357025146,0.577825665473938,0.5345863103866577
all_closed,202,300,291,9,-5.914876852714365,-0.6445583854133494,0.6445583854133494,165,1500,75.0,0.4270833333333333,1.64,0.3475907027519473,0.7517209266057518,0.5731166912850812,0.0607200337530728,0.0777853270974633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202,300,300,0,-0.36330425182668,-0.1033037833268711,0.1033037833268711,24,1500,75.0,0.92,3.68,1.0998197892534496,0.2144144362475359,0.0292300147130946,0.0468673653947983,0.0810263823931909,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,202,300,295,5,-0.6097642242918537,-0.1586959079110339,0.1586959079110339,44,1500,75.0,0.8493150684931506,3.306666666666666,1.00792488240473,0.2800536554251928,0.0777907429015947,0.0468993494931114,0.0788656788627058,0.2242061793804168,0.2640542984008789,0.9773611426353456,0.9929373860359192,0.9949920773506165,0.5714755654335022,0.599606990814209
rl_policy,202,300,299,1,-0.5346716791529069,-0.1427721561196026,0.1427721561196026,34,1500,75.0,0.8839590443686007,3.453333333333333,1.0382446676576371,0.2583966659588306,0.0656891495601173,0.0467429827902474,0.0791357668040165,0.5252275466918945,0.555452287197113,0.5969022512435913,0.6850669384002686,0.5495408177375793,0.6088516712188721,0.6045918464660645
all_closed,202,500,489,11,-6.362667432570119,-0.6654740966616723,0.6654740966616723,326,1500,75.0,0.3264462809917355,2.1066666666666665,0.3211296790251871,0.770621657839152,0.5953757225433526,0.1075198771625435,0.1307225635943481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202,500,500,0,-0.4525889016833295,-0.1244491379497052,0.1244491379497052,64,1500,75.0,0.8717434869739479,5.8,1.039832373440858,0.257262590399387,0.035906836316584,0.0835886640469405,0.1347738827140076,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,202,500,494,6,-0.7832147537743612,-0.1928059256061318,0.1928059256061318,90,1500,75.0,0.8163265306122449,5.333333333333333,0.9340679092607072,0.3328086362423519,0.0994707851819851,0.0831622094027658,0.1323430912422119,0.2242061793804168,0.2640542984008789,0.9773611426353456,0.9929373860359192,0.9949920773506165,0.5714755654335022,0.599606990814209
rl_policy,202,500,499,1,-0.5435529136285802,-0.1446956153196195,0.1446956153196195,79,1500,75.0,0.840080971659919,5.533333333333333,0.999999849461964,0.2857143932414543,0.0506830967050629,0.083826767889938,0.1334234430074544,0.5488573312759399,0.692350447177887,0.6281717419624329,0.6388292908668518,0.5335893630981445,0.6032052040100098,0.5847250819206238
all_closed,202,700,684,16,-7.886961966094663,-0.7281950850077961,0.7281950850077961,505,1500,75.0,0.2529585798816568,2.28,0.2602519103764935,0.8141057783025046,0.6709212894779905,0.1542450910092836,0.1825794483259903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202,700,700,0,-0.5875798360500324,-0.1540702469818019,0.1540702469818019,150,1500,75.0,0.7851002865329513,7.306666666666667,0.9613869119590008,0.313295062886428,0.0479203697120511,0.1246811228018733,0.1885213830348243,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,202,700,691,9,-0.8944992164374725,-0.2129848459592812,0.2129848459592812,168,1500,75.0,0.7547445255474453,6.8933333333333335,0.8645080166312603,0.382494273834814,0.0999785607089259,0.1237073846976744,0.185010239797786,0.2242061793804168,0.2640542984008789,0.9773611426353456,0.9929373860359192,0.9949920773506165,0.5714755654335022,0.599606990814209
rl_policy,202,700,699,1,-0.7042290251597574,-0.1777042746040447,0.1777042746040447,165,1500,75.0,0.7612156295224313,7.013333333333334,0.910885873036972,0.3493672335450201,0.0632623019767278,0.1258609806507566,0.1866307674456498,0.5464498996734619,0.6522324085235596,0.6140705943107605,0.6403273344039917,0.5313119292259216,0.590336799621582,0.5570318698883057
all_closed,202,900,880,20,-7.944303309221981,-0.7303389426235374,0.7303389426235374,634,1500,75.0,0.2704257767548906,3.1333333333333333,0.2523016285763024,0.8197845510169268,0.6707085370279444,0.1972565956630025,0.2347064209989431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202,900,900,0,-0.7214557242536537,-0.1810567613941035,0.1810567613941035,254,1500,75.0,0.7162011173184357,8.546666666666667,0.8873335695336886,0.3661903074759367,0.057634397339548,0.1674296470916844,0.2417287074730197,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,202,900,889,11,-1.0558408288680263,-0.240228308910085,0.240228308910085,269,1500,75.0,0.6943181818181818,8.146666666666667,0.7992262713737264,0.4291240918759097,0.1142977869328685,0.1657487050358959,0.2376773883533602,0.2242061793804168,0.2640542984008789,0.9773611426353456,0.9929373860359192,0.9949920773506165,0.5714755654335022,0.599606990814209
