method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
gt_original,101,300,300,0,-0.563613047887854,-0.14899973322511711,0.14899973322511711,52,1500,75.0,0.8266666666666667,3.3066666666666666,0.9902109708868113,0.2927064493665633,0.05319525579748628,0.05111189072725263,0.08162436846545915,,,,,,,
rule_based_pilgrimage,101,300,296,4,-0.7953047879383401,-0.19505826860682782,0.19505826860682782,49,1500,75.0,0.8333333333333334,3.2666666666666666,0.9552644571672989,0.3176682448805007,0.11331828442437923,0.049749488031678966,0.07940585474532715,0.45,0.45,0.45,0.45,0.45,0.45,0.45
gt_original,101,500,500,0,-0.8778704061244127,-0.21004612402716547,0.21004612402716547,126,1500,75.0,0.7474949899799599,4.973333333333334,0.8659647471711402,0.38145375202061405,0.09577437203153308,0.09090735037032473,0.1357685328808804,,,,,,,
rule_based_pilgrimage,101,500,493,7,-0.558689243193278,-0.14794841311639365,0.14794841311639365,71,1500,75.0,0.8551020408163266,5.586666666666667,0.9947454610593033,0.28946752781478335,0.05360233665080052,0.08303782679821492,0.1323430912422119,0.6,0.6,0.6,0.6,0.6,0.6,0.6
gt_original,101,700,700,0,-1.1654208999219673,-0.2575382512028272,0.2575382512028272,232,1500,75.0,0.6666666666666666,6.1866666666666665,0.7789479297162323,0.4436086216312626,0.13349133758387022,0.13208111623529167,0.18936853483986524,,,,,,,
rule_based_pilgrimage,101,700,691,9,-0.5851393543499301,-0.1535574413966505,0.1535574413966505,132,1500,75.0,0.8072992700729927,7.373333333333333,0.9636134580335232,0.3117046728331977,0.04812595377228571,0.11973780271814839,0.18501023979778605,0.7,0.7,0.7,0.7,0.7,0.7,0.7
gt_original,101,900,900,0,-1.4823065446557178,-0.30306272875651474,0.30306272875651474,360,1500,75.0,0.5973154362416108,7.12,0.7016454280460839,0.4988246942527972,0.17255475175899315,0.17640887633789318,0.24324061802706826,,,,,,,
rule_based_pilgrimage,101,900,888,12,-0.6955438812951138,-0.17600118776126936,0.17600118776126936,237,1500,75.0,0.7306818181818182,8.573333333333334,0.8909808382312562,0.36358511554910267,0.050945235902713826,0.1623690519808115,0.2376773883533602,0.8,0.8,0.8,0.8,0.8,0.8,0.8
gt_original,202,300,300,0,-0.5723009936470618,-0.15084671582143155,0.15084671582143155,44,1500,75.0,0.8533333333333334,3.4133333333333336,0.9851575137332698,0.29631606161909296,0.05386715195632393,0.05004146589518368,0.08162436846545915,,,,,,,
rule_based_pilgrimage,202,300,296,4,-0.7390939682109015,-0.18445475656207252,0.18445475656207252,44,1500,75.0,0.8513513513513513,3.36,0.9691073502538864,0.30778046410436677,0.10223761820054302,0.04844169378954325,0.07994603062794843,0.45,0.45,0.45,0.45,0.45,0.45,0.45
gt_original,202,500,500,0,-0.8672685618552594,-0.2081589003167264,0.2081589003167264,138,1500,75.0,0.7228915662650602,4.8,0.8669114363057453,0.38077754549589615,0.09307980353061324,0.09137633248738504,0.1354964516526622,,,,,,,
rule_based_pilgrimage,202,500,495,5,-0.5414202737562788,-0.14423474903165126,0.14423474903165126,75,1500,75.0,0.8475609756097561,5.56,1.0032965191251793,0.28335962919630053,0.051484828921885085,0.08347494280849396,0.1328832671248332,0.6,0.6,0.6,0.6,0.6,0.6,0.6
gt_original,202,700,700,0,-1.2239322890439919,-0.2664256434503718,0.2664256434503718,247,1500,75.0,0.6446043165467625,5.973333333333334,0.7626112067874616,0.4552777094375273,0.14052426612560134,0.13419332577014345,0.18909645361164704,,,,,,,
rule_based_pilgrimage,202,700,693,7,-0.5865850402027333,-0.15386131100049616,0.15386131100049616,136,1500,75.0,0.8014598540145985,7.32,0.9602235006046245,0.31412607099669676,0.047018137669695745,0.12087146131391276,0.18501023979778605,0.7,0.7,0.7,0.7,0.7,0.7,0.7
gt_original,202,900,900,0,-1.4587956635839845,-0.2998905541393721,0.2998905541393721,360,1500,75.0,0.5973154362416108,7.12,0.7041902298570678,0.49700697867352295,0.1684796044499382,0.17671675772771903,0.24324061802706826,,,,,,,
rule_based_pilgrimage,202,900,887,13,-0.6824670480292965,-0.17342039907373608,0.17342039907373608,232,1500,75.0,0.7360637087599545,8.626666666666667,0.8957707839543476,0.3601637257468945,0.04892484795829713,0.16202788826547174,0.23740730041204955,0.8,0.8,0.8,0.8,0.8,0.8,0.8
gt_original,303,300,300,0,-0.4984737133000656,-0.13481568853736214,0.13481568853736214,43,1500,75.0,0.8552188552188552,3.3866666666666667,1.0183015438350083,0.27264175440356553,0.04293164462655988,0.049028321321686975,0.08080812478080455,,,,,,,
rule_based_pilgrimage,303,300,297,3,-0.6943482569970489,-0.17576605258117764,0.17576605258117764,42,1500,75.0,0.8561643835616438,3.3333333333333335,0.9839158814286322,0.29720294183669127,0.09480812641083522,0.04812540659511369,0.07886567886270587,0.45,0.45,0.45,0.45,0.45,0.45,0.45
