method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
gt_original,101,5,5,0,-0.11626617694916308,-0.036663115110418025,0.036663115110418025,0,1304,65.2,1.0,0.07668711656441718,1.2716790971135368,0.09165778777604505,0.0,0.0008739578845796636,0.001360406141090986,,,,,,,
rule_based_pilgrimage,101,5,5,0,-0.11750457017854865,-0.03703271238081931,0.03703271238081931,0,1305,65.25,1.0,0.07662835249042145,1.2703855066671323,0.09258178095204828,0.0,0.0008675552054220448,0.0013504397065531835,0.45,0.45,0.45,0.45,0.45,0.45,0.45
gt_original,101,10,10,0,-0.19271059948345348,-0.05874284384274908,0.05874284384274908,1,1500,75.0,0.9,0.12,1.1944000465503781,0.1468571096068727,0.0,0.0017649479672575163,0.002720812282181972,,,,,,,
rule_based_pilgrimage,101,10,10,0,-0.1928381893904092,-0.05877850018247619,0.05877850018247619,1,1500,75.0,0.9,0.12,1.1942752493613333,0.14694625045619047,0.0,0.0017484640411162267,0.0027008794131063666,0.45,0.45,0.45,0.45,0.45,0.45,0.45
gt_original,101,1000,1000,0,-1.621469982872917,-0.32124507420057064,0.32124507420057064,431,1500,75.0,0.5663983903420523,7.506666666666667,0.6662042234102907,0.5241398404212209,0.18598189672013718,0.2004093046796668,0.270448740848888,,,,,,,
rule_based_pilgrimage,101,1000,990,10,-0.7407788837697449,-0.18477754913949945,0.18477754913949945,304,1500,75.0,0.6901121304791029,9.026666666666667,0.8544751031715617,0.38966064059174155,0.04818882150467137,0.18652059999590476,0.2649562704257345,0.8,0.8,0.8,0.8,0.8,0.8,0.8
gt_original,101,1500,1040,0,-1.6582499421338186,-0.32588932992684444,0.32588932992684444,455,1500,75.0,0.5599613152804642,7.72,0.6548466905569948,0.5322523638878608,0.1883139739528335,0.20980326708551617,0.2813319899776159,,,,,,,
rule_based_pilgrimage,101,1500,1028,12,-0.7607226137868324,-0.1885747669340125,0.1885747669340125,330,1500,75.0,0.676153091265947,9.186666666666667,0.8409795395025069,0.3993003289267807,0.0480910589388337,0.1956396218038402,0.27521961219553864,0.8,0.8,0.8,0.8,0.8,0.8,0.8
gt_original,202,5,5,0,-0.13786687576536893,-0.0430517826624421,0.0430517826624421,0,975,48.75,1.0,0.10256410256410256,1.2493187606814526,0.10762945665610524,0.0,0.0011049829472534946,0.001360406141090986,,,,,,,
rule_based_pilgrimage,202,5,5,0,-0.13822745120526303,-0.04315739499395166,0.04315739499395166,0,975,48.75,1.0,0.10256410256410256,1.248949117521169,0.10789348748487915,0.0,0.0010968877616493202,0.0013504397065531833,0.45,0.45,0.45,0.45,0.45,0.45,0.45
