test_id,case_name,reward,added_agents,skipped_agents,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,classic_mean_density,classic_max_density,voronoi_mean_density,voronoi_max_density,voronoi_95_density,mean_speed,min_speed,speed_05,speed_10,stopped_ratio,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
1,all_open,-0.04498982269229948,10,0,8,500,25.0,0.2,0.08,0.002534671449222897,0.0027008794131063657,0.002534671449222897,0.0027008794131063666,0.0027008794131063666,1.2425356205769518,1.06581776814748,1.0658177681474856,1.094760620394914,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,all_closed,-0.2217786117560201,9,1,8,500,25.0,0.1111111111111111,0.04,0.002337299492111278,0.002430791471795729,0.002337299492111278,0.0024307914717957304,0.00243079147179573,0.8571081921872629,0.0021298633851679263,0.008534218133459094,0.12880162575625603,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,half_open,-0.06494180924799219,10,0,8,500,25.0,0.2,0.08,0.0025554474447083302,0.0027008794131063657,0.0025554474447083307,0.0027008794131063666,0.002700879413106366,1.1727036676320273,1.049435494109145,1.0494354947054028,1.1032835644792809,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4,alternating_1,-0.131252720614318,9,1,8,500,25.0,0.1111111111111111,0.04,0.0023061354988831275,0.002430791471795729,0.002306135498883128,0.00243079147179573,0.0024307914717957295,1.083797296031705,0.0002486897255544592,0.010730514041133262,0.47128755391723487,0.06818181818181818,1.0,0.0,1.0,0.0,1.0,0.0,1.0
5,alternating_2,-0.1230109266852071,10,0,8,500,25.0,0.2,0.08,0.002586611437936481,0.0027008794131063657,0.002586611437936481,0.0027008794131063666,0.0027008794131063666,1.0258375955279495,0.010436689169356998,0.4605696489386349,0.7185426429030745,0.026845637583892617,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,random_1,-0.027059172060254034,10,0,8,500,25.0,0.2,0.08,0.0025138954537374633,0.0027008794131063657,0.0025138954537374638,0.0027008794131063675,0.0027008794131063666,1.3052928977891107,1.216076998171579,1.2160769981715944,1.245068487991512,0.0,0.021939597859565008,0.830037561492844,0.39580574091136733,0.008097965761490244,0.865067397697266,0.7783116157700779,0.9736028168279248
7,random_2,-0.055419929711964105,10,0,7,500,25.0,0.3,0.12,0.0025450594469656135,0.0027008794131063657,0.0025450594469656135,0.002700879413106366,0.002700879413106366,1.2060302460081256,0.9288656149426027,1.086907873879026,1.0944450552921268,0.0,0.9106169537187105,0.7451721541339701,0.8328388996731884,0.9029349184497755,0.7757409796033808,0.2301183909704163,0.8019319575452876
8,random_3,-0.06519886541273814,10,0,7,500,25.0,0.3,0.12,0.002472343462766596,0.0027008794131063657,0.002472343462766596,0.0027008794131063666,0.002700879413106366,1.1718039710554164,1.0192863687689513,1.0202314042651326,1.0202314042651335,0.0,0.21900453892810545,0.1901319892770883,0.25062680004361604,0.7555773237416772,0.7674707744954641,0.6808550941820227,0.1367792384940989
9,random_4,-0.04398575687627422,10,0,8,500,25.0,0.2,0.08,0.0025242834514801796,0.0027008794131063657,0.00252428345148018,0.002700879413106366,0.002700879413106366,1.2460498509330402,1.0819515399079127,1.083128090249575,1.086052078369938,0.0,0.09716392981561794,0.6274581078167305,0.039422573960817386,0.7886104840101539,0.033364531245632434,0.36486123302846973,0.13141180642048544
10,random_5,-0.04778289889502707,10,0,8,500,25.0,0.2,0.08,0.0025138954537374633,0.0027008794131063657,0.0025138954537374638,0.002700879413106366,0.002700879413106366,1.2327598538674052,1.040522618823786,1.0436993599169022,1.043970539155777,0.0,0.9096278123193268,0.3267191257140104,0.41550309341877745,0.2007947946500762,0.7865128110305052,0.8764605967066406,0.3658575306151238
